,Alchemy of Souls,Business Proposal,Crash Landing on You,Death's Game,Descendants of the Sun,Doom at Your Service ,Itaewon Class,Flower of Evil,Goblin ,Ghost Doctor,Happiness,Lovely Runner,Marry My Husband,Moving,Shopping King Louie,Strong Woman Do Bong Soon,Tale of the Nine Tailed,The Glory,The Good Bad Mother,The Secret Garden,Time Called to You,Tomorrow,Twinkling Watermelon,Uncounting Counter,Vincenzo,Queen of Tears
umbrella,,yes,yes,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,yes,,,
wheelchair ,,no,,yes,yes,,yes,,,,no,yes,,,yes,,,,,yes,,,,,,
works of art,,yes,,yes,,,no,,,,yes,,,,yes,,,,,yes,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
abalone ,,yes,,no,,,yes,,,,,,,,yes,,,,,,,,,,,
beer,,yes,,no,yes,,yes,,,,yes,yes,,,,,,,,yes,,,yes,,,
cake with candles,,yes,,no,,,no,,,,no,yes,,,,,,,,yes,,,yes,,,
coffee,,yes,,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,yes,,,
fried chicken,,yes,,no,yes,,no,,,,,,,,,,,,,,,,yes,,,
grilled meat and offal,,yes,,,,,yes,,,,no,,,,yes,,,,,yes,,,yes,,,
hangover cure,,yes,,no,,,no,,,,yes,yes,,,,,,,,,,,yes,,,
ice cream,,no,,no,yes,,yes,,,,no,yes,,,yes,,,,,,,,yes,,,
kimpap,,,,,,,yes,,,,,,,,,,,,,,,,,,,
korean beef,,yes,,no,,,no,,,,,,,,,,,,,,,,yes,,,
makgeolli,,yes,,no,,,no,,,,no,yes,,,,,,,,,,,yes,,,
peeled and chopped fruits,,yes,,no,yes,,yes,,,,yes,,,,yes,,,,,yes,,,yes,,,
ramen,,no,,yes,yes,,yes,,,,yes,yes,,,yes,,,,,yes,,,yes,,,
released tofu,,no,,yes,,,yes,,,,no,no,,,,,,,,yes,,,,,,
samgyopsal,,no,,no,,,no,,,,no,yes,,,,,,,,yes,,,yes,,,
seaweed soup,,yes,,no,,,no,,,,no,yes,,,,,,,,yes,,,,,,
soju,,yes,,yes,yes,,yes,,,,yes,yes,,,,,,,,yes,,,yes,,,
spicy chicken feet,,no,,no,,,no,,,,no,,,,,,,,,,,,,,,
sunde,,,,,,,no,,,,,,,,,,,,,yes,,,,,,
toppokki,,yes,,no,,,no,,,,no,yes,,,,,,,,,,,yes,,,
wine,,yes,yes,no,yes,,yes,,,,yes,yes,,,,,,,,yes,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
alien,,no,,no,,,no,,,,no,no,,,,,,,,,,,,,,
bandit,,no,,yes,yes,,yes,,,,yes,yes,,,yes,,,,,,,,yes,,,
Buddhist monks/nuns,,no,,no,,,no,,,,no,yes,,,,,,,,,,,,,,
Christian priests/monks/nuns,,yes,,yes,,,yes,,,,yes,,,,,,,,,,,,,,,
fan ,,yes,,no,yes,,yes,,,,no,yes,,,,,,,,yes,,,,,,
god,,no,,yes,,,no,,,,,,,,,,,,,,,,yes,,,
hostage,,no,,no,yes,,yes,yes,,,yes,,,,,,,,,,,,,,,
K-pop artists/idols,,yes,,no,yes,,no,,,,,yes,,,,,,,,yes,,,yes,,,
neighbours,,yes,,no,yes,,yes,,,,yes,yes,,,,,,,,,,,,,,
orphan,,yes,,no,yes,,yes,,,,,,,,,,,,,yes,,,yes,,,
